word, distance, targetword,spacetime
above,0.429592102766037,wide,S
across,0.47006261348724365,wide,B
angled,0.42712342739105225,wide,S
arched,0.434174120426178,wide,S
beady,0.4474243223667145,wide,O
bleary,0.5132302045822144,wide,O
bright,0.4778122901916504,wide,O
broad,0.7244603633880615,wide,S
bulbous,0.4401469826698303,wide,S
circular,0.48313450813293457,wide,S
concave,0.4345416724681854,wide,S
curved,0.5292568802833557,wide,S
curving,0.48588475584983826,wide,S
dark,0.46235764026641846,wide,O
deep,0.4637625217437744,wide,S
dense,0.466721773147583,wide,O
feathery,0.4391166865825653,wide,O
featureless,0.48695069551467896,wide,O
flat,0.5184319019317627,wide,S
gaping,0.48331689834594727,wide,S
gigantic,0.4313774108886719,wide,S
glassy,0.5752133131027222,wide,O
goggle,0.5216092467308044,wide,O
googly,0.45108434557914734,wide,O
graceful,0.4374805688858032,wide,O
holobyte,0.42777103185653687,wide,O
horizontal,0.4667723476886749,wide,S
huge,0.49437394738197327,wide,S
interlaced,0.4391164779663086,wide,S
jagged,0.44720369577407837,wide,S
ladron,0.4330398738384247,wide,O
large,0.5471137762069702,wide,S
length,0.4342479109764099,wide,B
lipless,0.46143633127212524,wide,O
longish,0.4614134728908539,wide,B
lopsided,0.4407702386379242,wide,S
lush,0.4301072657108307,wide,O
narrow,0.7178937196731567,wide,S
narrowing,0.4562062621116638,wide,S
nimble,0.44280675053596497,wide,O
open,0.4886205494403839,wide,B
parfocal,0.44704803824424744,wide,O
parrotlike,0.4297310411930084,wide,O
patchy,0.4347006678581238,wide,S
portaball,0.4285299479961395,wide,O
razored,0.4317095875740051,wide,O
rectangular,0.4318939745426178,wide,S
ridged,0.4289025664329529,wide,O
ringed,0.42734265327453613,wide,S
roomy,0.4439571499824524,wide,O
segmented,0.4935232996940613,wide,B
semicircular,0.4280283451080322,wide,S
shallow,0.4854743480682373,wide,S
shaped,0.4281828701496124,wide,S
sharp,0.46973133087158203,wide,O
silvery,0.48208823800086975,wide,O
sinewy,0.4451088607311249,wide,O
sinuous,0.43092864751815796,wide,O
slender,0.4882897138595581,wide,S
slits,0.46316128969192505,wide,S
slitted,0.45208099484443665,wide,S
sloping,0.4299374222755432,wide,S
small,0.5489126443862915,wide,S
smallish,0.44569557905197144,wide,S
sparse,0.5119097232818604,wide,B
squinty,0.44613152742385864,wide,O
starry,0.4407378137111664,wide,O
stiff,0.43535488843917847,wide,O
straight,0.46036940813064575,wide,S
stubby,0.45473217964172363,wide,S
sunken,0.4409236013889313,wide,S
symmetrical,0.48408302664756775,wide,S
tall,0.4986228942871094,wide,S
taut,0.5152875185012817,wide,O
thick,0.5819987058639526,wide,S
thickly,0.5164832472801208,wide,S
thin,0.5139980316162109,wide,S
tight,0.48359477519989014,wide,S
tiny,0.4729138910770416,wide,S
toothed,0.45961612462997437,wide,O
toothy,0.5041854381561279,wide,O
translucent,0.43336302042007446,wide,O
transparent,0.42913514375686646,wide,O
treeless,0.42792826890945435,wide,O
triangular,0.4662456810474396,wide,S
tubular,0.45043277740478516,wide,S
unseeing,0.4455130100250244,wide,O
vast,0.4576469957828522,wide,S
vertical,0.5390598177909851,wide,S
watery,0.4479793608188629,wide,O
webbed,0.4626913070678711,wide,S
widen,0.43944302201271057,wide,S
widened,0.4447695016860962,wide,S
widening,0.4571777284145355,wide,S
wider,0.6010826826095581,wide,S
widest,0.4958428740501404,wide,S
width,0.495907723903656,wide,S
widths,0.4270420968532562,wide,S
wingspan,0.4378320574760437,wide,S
yawning,0.44860056042671204,wide,O